# integral[ exp(-x*t) / t^n, x=1..inf ]
# x                       n=1                       n=2                       n=3
1.070000000000000062e+00  1.953354026700987456e-01  1.339996365617010521e-01  9.981445314884335174e-02
1.080000000000000071e+00  1.921604790950183217e-01  1.320622082223192606e-01  9.848417038241716326e-02
1.090000000000000080e+00  1.890461179789120760e-01  1.301562251097189149e-01  9.717310416856977939e-02
1.100000000000000089e+00  1.859909045360400581e-01  1.282810887084352980e-01  9.588094305940024487e-02
1.110000000000000098e+00  1.829934654350394985e-01  1.264362144422954137e-01  9.460738152212071206e-02
1.120000000000000107e+00  1.800524672817157001e-01  1.246210312675177234e-01  9.335211980170969592e-02
1.130000000000000115e+00  1.771666151695643343e-01  1.228349812806454056e-01  9.211486378756178484e-02
1.140000000000000124e+00  1.743346512944381199e-01  1.210775193406442712e-01  9.089532488398459342e-02
1.150000000000000133e+00  1.715553536299985193e-01  1.193481127045549900e-01  8.969321988440752402e-02
1.159999999999999920e+00  1.688275346607866212e-01  1.176462406760929447e-01  8.850827084916888798e-02
1.169999999999999929e+00  1.661500401699460283e-01  1.159713942666479869e-01  8.734020498675337807e-02
1.179999999999999938e+00  1.635217480788047906e-01  1.143230758681418324e-01  8.618875453836200018e-02
1.189999999999999947e+00  1.609415673356837662e-01  1.127007989372405955e-01  8.505365666569396355e-02
1.199999999999999956e+00  1.584084368514626084e-01  1.111040876904469676e-01  8.393465334183289328e-02
1.209999999999999964e+00  1.559213244795678577e-01  1.095324768096103130e-01  8.283149124512950712e-02
1.219999999999999973e+00  1.534792260381895035e-01  1.079855111574232057e-01  8.174392165597905990e-02
1.229999999999999982e+00  1.510811643726529541e-01  1.064627455024961256e-01  8.067170035639456560e-02
1.239999999999999991e+00  1.487261884559974989e-01  1.049637442536139748e-01  7.961458753228474461e-02
1.250000000000000000e+00  1.464133725259101348e-01  1.034880812028023678e-01  7.857234767834357647e-02
1.260000000000000009e+00  1.441418152562830013e-01  1.020353392768538064e-01  7.754474950546734469e-02
1.270000000000000018e+00  1.419106389617414143e-01  1.006051102969678923e-01  7.653156585061532402e-02
1.280000000000000027e+00  1.397189888335962082e-01  9.919699474619085577e-02  7.553257358903490981e-02
1.290000000000000036e+00  1.375660322057437046e-01  9.781060154434310927e-02  7.454755354877476425e-02
1.300000000000000044e+00  1.354509578491291388e-01  9.644554783014472332e-02  7.357629042741221925e-02
1.310000000000000053e+00  1.333729752934572355e-01  9.510145875025781403e-02  7.261857271092450605e-02
1.320000000000000062e+00  1.313313141748998769e-01  9.377796725498248331e-02  7.167419259463667092e-02
1.330000000000000071e+00  1.293252236086275542e-01  9.247471390034921190e-02  7.074294590617977163e-02
1.340000000000000080e+00  1.273539715850442733e-01  9.119134665636682846e-02  6.982463203039729338e-02
1.350000000000000089e+00  1.254168443886644613e-01  8.992752072119453155e-02  6.891905383613944336e-02
1.360000000000000098e+00  1.235131460386322821e-01  8.868289834101608649e-02  6.802601760488703742e-02
1.370000000000000107e+00  1.216421977499246021e-01  8.745714863540350603e-02  6.714533296114867655e-02
1.380000000000000115e+00  1.198033374143372409e-01  8.624994742797101321e-02  6.627681280457820012e-02
1.390000000000000124e+00  1.179959191003932401e-01  8.506097708212163877e-02  6.542027324375949970e-02
1.400000000000000133e+00  1.162193125713578551e-01  8.388992634170536200e-02  6.457553353160933041e-02
1.409999999999999920e+00  1.144729028205872523e-01  8.273649017640902215e-02  6.374241600235015792e-02
1.419999999999999929e+00  1.127560896234699600e-01  8.160036963170910762e-02  6.292074601000473277e-02
1.429999999999999938e+00  1.110682871052656034e-01  8.048127168322448399e-02  6.211035186837166044e-02
1.439999999999999947e+00  1.094089233241703624e-01  7.937890909531657158e-02  6.131106479243294410e-02
1.449999999999999956e+00  1.077774398689765739e-01  7.829300028378159693e-02  6.052271884115710543e-02
1.459999999999999964e+00  1.061732914707258640e-01  7.722326918249909633e-02  5.974515086165509831e-02
1.469999999999999973e+00  1.045959456277752442e-01  7.616944511389431294e-02  5.897820043464963718e-02
1.479999999999999982e+00  1.030448822437338846e-01  7.513126266308653434e-02  5.822170982122234356e-02
