#table for dust cooling
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), cool (erg/cm3/s)

          30 ,          30
 -0.31034483E+001  0.46206897E+001 -0.31705801E+002
 -0.31034483E+001  0.48620690E+001 -0.31343404E+002
 -0.31034483E+001  0.51034483E+001 -0.30981142E+002
 -0.31034483E+001  0.53448276E+001 -0.30618960E+002
 -0.31034483E+001  0.55862069E+001 -0.30256824E+002
 -0.31034483E+001  0.58275862E+001 -0.29894715E+002
 -0.31034483E+001  0.60689655E+001 -0.29532623E+002
 -0.31034483E+001  0.63103448E+001 -0.29170540E+002
 -0.31034483E+001  0.65517241E+001 -0.28808463E+002
 -0.31034483E+001  0.67931034E+001 -0.28446389E+002
 -0.31034483E+001  0.70344828E+001 -0.28084317E+002
 -0.31034483E+001  0.72758621E+001 -0.27722247E+002
 -0.31034483E+001  0.75172414E+001 -0.27360177E+002
 -0.31034483E+001  0.77586207E+001 -0.26998107E+002
 -0.31034483E+001  0.80000000E+001 -0.26636038E+002
 
 -0.26896552E+001  0.10000000E+001 -0.40000000E+002
 -0.26896552E+001  0.12413793E+001 -0.40000000E+002
 -0.26896552E+001  0.14827586E+001 -0.40000000E+002
 -0.26896552E+001  0.17241379E+001 -0.37246832E+002
 -0.26896552E+001  0.19655172E+001 -0.35301009E+002
 -0.26896552E+001  0.22068966E+001 -0.34704925E+002
 -0.26896552E+001  0.24482759E+001 -0.34245890E+002
 -0.26896552E+001  0.26896552E+001 -0.33835213E+002
 -0.26896552E+001  0.29310345E+001 -0.33446861E+002
 -0.26896552E+001  0.31724138E+001 -0.33070044E+002
 -0.26896552E+001  0.34137931E+001 -0.32699534E+002
 -0.26896552E+001  0.36551724E+001 -0.32332580E+002
 -0.26896552E+001  0.38965517E+001 -0.31967664E+002
 -0.26896552E+001  0.41379310E+001 -0.31603929E+002
 -0.26896552E+001  0.43793103E+001 -0.31240883E+002
 -0.26896552E+001  0.46206897E+001 -0.30878240E+002
 -0.26896552E+001  0.48620690E+001 -0.30515834E+002
 -0.26896552E+001  0.51034483E+001 -0.30153566E+002
 -0.26896552E+001  0.53448276E+001 -0.29791379E+002
 -0.26896552E+001  0.55862069E+001 -0.29429241E+002
 -0.26896552E+001  0.58275862E+001 -0.29067131E+002
 -0.26896552E+001  0.60689655E+001 -0.28705038E+002
 -0.26896552E+001  0.63103448E+001 -0.28342955E+002
 -0.26896552E+001  0.65517241E+001 -0.27980877E+002
 -0.26896552E+001  0.67931034E+001 -0.27618803E+002
 -0.26896552E+001  0.70344828E+001 -0.27256731E+002
 -0.26896552E+001  0.72758621E+001 -0.26894661E+002
 -0.26896552E+001  0.75172414E+001 -0.26532591E+002
 -0.26896552E+001  0.77586207E+001 -0.26170521E+002
 -0.26896552E+001  0.80000000E+001 -0.25808452E+002
 
 -0.22758621E+001  0.10000000E+001 -0.40000000E+002
 -0.22758621E+001  0.12413793E+001 -0.40000000E+002
 -0.22758621E+001  0.14827586E+001 -0.40000000E+002
 -0.22758621E+001  0.17241379E+001 -0.36686763E+002
 -0.22758621E+001  0.19655172E+001 -0.34491737E+002
 -0.22758621E+001  0.22068966E+001 -0.33884026E+002
 -0.22758621E+001  0.24482759E+001 -0.33421563E+002
 -0.22758621E+001  0.26896552E+001 -0.33009390E+002
 -0.22758621E+001  0.29310345E+001 -0.32620276E+002
 -0.22758621E+001  0.31724138E+001 -0.32243042E+002
 -0.22758621E+001  0.34137931E+001 -0.31872293E+002
 -0.22758621E+001  0.36551724E+001 -0.31505199E+002
 -0.22758621E+001  0.38965517E+001 -0.31140201E+002
 -0.22758621E+001  0.41379310E+001 -0.30776417E+002
 -0.22758621E+001  0.43793103E+001 -0.30413342E+002
 -0.22758621E+001  0.46206897E+001 -0.30050681E+002
 -0.22758621E+001  0.48620690E+001 -0.29688264E+002
 -0.22758621E+001  0.51034483E+001 -0.29325989E+002
 -0.22758621E+001  0.53448276E+001 -0.28963799E+002
 -0.22758621E+001  0.55862069E+001 -0.28601659E+002
 -0.22758621E+001  0.58275862E+001 -0.28239547E+002
 -0.22758621E+001  0.60689655E+001 -0.27877453E+002
 -0.22758621E+001  0.63103448E+001 -0.27515369E+002
 -0.22758621E+001  0.65517241E+001 -0.27153292E+002
 -0.22758621E+001  0.67931034E+001 -0.26791217E+002
 -0.22758621E+001  0.70344828E+001 -0.26429145E+002
 -0.22758621E+001  0.72758621E+001 -0.26067075E+002
 -0.22758621E+001  0.75172414E+001 -0.25705004E+002
 -0.22758621E+001  0.77586207E+001 -0.25342935E+002
 -0.22758621E+001  0.80000000E+001 -0.24980866E+002
 
 -0.18620690E+001  0.10000000E+001 -0.40000000E+002
 -0.18620690E+001  0.12413793E+001 -0.40000000E+002
 -0.18620690E+001  0.14827586E+001 -0.40000000E+002
 -0.18620690E+001  0.17241379E+001 -0.36162443E+002
 -0.18620690E+001  0.19655172E+001 -0.33684109E+002
 -0.18620690E+001  0.22068966E+001 -0.33063569E+002
 -0.18620690E+001  0.24482759E+001 -0.32597432E+002
 -0.18620690E+001  0.26896552E+001 -0.32183669E+002
 -0.18620690E+001  0.29310345E+001 -0.31793749E+002
 -0.18620690E+001  0.31724138E+001 -0.31416073E+002
 -0.18620690E+001  0.34137931E+001 -0.31045072E+002
 -0.18620690E+001  0.36551724E+001 -0.30677831E+002
 -0.18620690E+001  0.38965517E+001 -0.30312746E+002
 -0.18620690E+001  0.41379310E+001 -0.29948910E+002
 -0.18620690E+001  0.43793103E+001 -0.29585804E+002
 -0.18620690E+001  0.46206897E+001 -0.29223124E+002
 -0.18620690E+001  0.48620690E+001 -0.28860695E+002
 -0.18620690E+001  0.51034483E+001 -0.28498414E+002
 -0.18620690E+001  0.53448276E+001 -0.28136219E+002
 -0.18620690E+001  0.55862069E+001 -0.27774076E+002
 -0.18620690E+001  0.58275862E+001 -0.27411963E+002
 -0.18620690E+001  0.60689655E+001 -0.27049868E+002
 -0.18620690E+001  0.63103448E+001 -0.26687784E+002
 -0.18620690E+001  0.65517241E+001 -0.26325706E+002
 -0.18620690E+001  0.67931034E+001 -0.25963632E+002
 -0.18620690E+001  0.70344828E+001 -0.25601559E+002
 -0.18620690E+001  0.72758621E+001 -0.25239488E+002
 -0.18620690E+001  0.75172414E+001 -0.24877418E+002
 -0.18620690E+001  0.77586207E+001 -0.24515349E+002
 -0.18620690E+001  0.80000000E+001 -0.24153279E+002
 
 -0.14482759E+001  0.10000000E+001 -0.40000000E+002
 -0.14482759E+001  0.12413793E+001 -0.40000000E+002
 -0.14482759E+001  0.14827586E+001 -0.40000000E+002
 -0.14482759E+001  0.17241379E+001 -0.35672601E+002
 -0.14482759E+001  0.19655172E+001 -0.32878364E+002
 -0.14482759E+001  0.22068966E+001 -0.32243601E+002
 -0.14482759E+001  0.24482759E+001 -0.31773515E+002
 -0.14482759E+001  0.26896552E+001 -0.31358060E+002
 -0.14482759E+001  0.29310345E+001 -0.30967285E+002
 -0.14482759E+001  0.31724138E+001 -0.30589141E+002
 -0.14482759E+001  0.34137931E+001 -0.30217874E+002
 -0.14482759E+001  0.36551724E+001 -0.29850477E+002
 -0.14482759E+001  0.38965517E+001 -0.29485299E+002
 -0.14482759E+001  0.41379310E+001 -0.29121408E+002
