#table for dust H2 formation
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), H2 (1/s)

          30 ,          30
 -0.39310345E+001  0.26896552E+001 -0.20269112E+002
 -0.39310345E+001  0.29310345E+001 -0.20464845E+002
 -0.39310345E+001  0.31724138E+001 -0.20734995E+002
 -0.39310345E+001  0.34137931E+001 -0.21053379E+002
 -0.39310345E+001  0.36551724E+001 -0.21397835E+002
 -0.39310345E+001  0.38965517E+001 -0.21755052E+002
 -0.39310345E+001  0.41379310E+001 -0.22118319E+002
 -0.39310345E+001  0.43793103E+001 -0.22484535E+002
 -0.39310345E+001  0.46206897E+001 -0.22852314E+002
 -0.39310345E+001  0.48620690E+001 -0.23221040E+002
 -0.39310345E+001  0.51034483E+001 -0.23590435E+002
 -0.39310345E+001  0.53448276E+001 -0.23960372E+002
 -0.39310345E+001  0.55862069E+001 -0.24330796E+002
 -0.39310345E+001  0.58275862E+001 -0.24701681E+002
 -0.39310345E+001  0.60689655E+001 -0.25073021E+002
 -0.39310345E+001  0.63103448E+001 -0.25444814E+002
 -0.39310345E+001  0.65517241E+001 -0.25817063E+002
 -0.39310345E+001  0.67931034E+001 -0.26189771E+002
 -0.39310345E+001  0.70344828E+001 -0.26562943E+002
 -0.39310345E+001  0.72758621E+001 -0.26936581E+002
 -0.39310345E+001  0.75172414E+001 -0.27310687E+002
 -0.39310345E+001  0.77586207E+001 -0.27685262E+002
 -0.39310345E+001  0.80000000E+001 -0.28060304E+002
 
 -0.35172414E+001  0.10000000E+001 -0.20012330E+002
 -0.35172414E+001  0.12413793E+001 -0.19917917E+002
 -0.35172414E+001  0.14827586E+001 -0.19835520E+002
 -0.35172414E+001  0.17241379E+001 -0.19800961E+002
 -0.35172414E+001  0.19655172E+001 -0.19750290E+002
 -0.35172414E+001  0.22068966E+001 -0.19724367E+002
 -0.35172414E+001  0.24482759E+001 -0.19753150E+002
 -0.35172414E+001  0.26896552E+001 -0.19860653E+002
 -0.35172414E+001  0.29310345E+001 -0.20056670E+002
 -0.35172414E+001  0.31724138E+001 -0.20327145E+002
 -0.35172414E+001  0.34137931E+001 -0.20645882E+002
 -0.35172414E+001  0.36551724E+001 -0.20990710E+002
 -0.35172414E+001  0.38965517E+001 -0.21348315E+002
 -0.35172414E+001  0.41379310E+001 -0.21711985E+002
 -0.35172414E+001  0.43793103E+001 -0.22078618E+002
 -0.35172414E+001  0.46206897E+001 -0.22446828E+002
 -0.35172414E+001  0.48620690E+001 -0.22815999E+002
 -0.35172414E+001  0.51034483E+001 -0.23185853E+002
 -0.35172414E+001  0.53448276E+001 -0.23556262E+002
 -0.35172414E+001  0.55862069E+001 -0.23927169E+002
 -0.35172414E+001  0.58275862E+001 -0.24298550E+002
 -0.35172414E+001  0.60689655E+001 -0.24670395E+002
 -0.35172414E+001  0.63103448E+001 -0.25042702E+002
 -0.35172414E+001  0.65517241E+001 -0.25415472E+002
 -0.35172414E+001  0.67931034E+001 -0.25788708E+002
 -0.35172414E+001  0.70344828E+001 -0.26162411E+002
 -0.35172414E+001  0.72758621E+001 -0.26536584E+002
 -0.35172414E+001  0.75172414E+001 -0.26911225E+002
 -0.35172414E+001  0.77586207E+001 -0.27286333E+002
 -0.35172414E+001  0.80000000E+001 -0.27661904E+002
 
 -0.31034483E+001  0.10000000E+001 -0.19598537E+002
 -0.31034483E+001  0.12413793E+001 -0.19504124E+002
 -0.31034483E+001  0.14827586E+001 -0.19421727E+002
 -0.31034483E+001  0.17241379E+001 -0.19388856E+002
 -0.31034483E+001  0.19655172E+001 -0.19341252E+002
 -0.31034483E+001  0.22068966E+001 -0.19315748E+002
 -0.31034483E+001  0.24482759E+001 -0.19344800E+002
 -0.31034483E+001  0.26896552E+001 -0.19452564E+002
 -0.31034483E+001  0.29310345E+001 -0.19648881E+002
 -0.31034483E+001  0.31724138E+001 -0.19919699E+002
 -0.31034483E+001  0.34137931E+001 -0.20238807E+002
 -0.31034483E+001  0.36551724E+001 -0.20584026E+002
 -0.31034483E+001  0.38965517E+001 -0.20942037E+002
 -0.31034483E+001  0.41379310E+001 -0.21306127E+002
