          50 ,          50 ,          20
 -0.20000000E+001 -0.57551020E+001  0.44776562E+001  0.15155213E-025
 -0.20000000E+001 -0.57551020E+001  0.46515925E+001  0.27642352E-025
 -0.20000000E+001 -0.57551020E+001  0.48255288E+001  0.50416608E-025
 -0.20000000E+001 -0.57551020E+001  0.49994651E+001  0.91950255E-025
 -0.20000000E+001 -0.57551020E+001  0.51734014E+001  0.16769264E-024
 -0.20000000E+001 -0.57551020E+001  0.53473377E+001  0.30581580E-024
 -0.20000000E+001 -0.57551020E+001  0.55212740E+001  0.55769158E-024
 -0.20000000E+001 -0.57551020E+001  0.56952103E+001  0.10169966E-023
 -0.20000000E+001 -0.57551020E+001  0.58691466E+001  0.18545502E-023
 -0.20000000E+001 -0.57551020E+001  0.60430829E+001  0.33818410E-023
 -0.20000000E+001 -0.57551020E+001  0.62170192E+001  0.61668671E-023
 -0.20000000E+001 -0.57551020E+001  0.63909555E+001  0.11245371E-022
 -0.20000000E+001 -0.57551020E+001  0.65648918E+001  0.20506026E-022
 -0.20000000E+001 -0.57551020E+001  0.67388281E+001  0.37392814E-022
 -0.20000000E+001 -0.57551020E+001  0.69127644E+001  0.68185823E-022
 -0.20000000E+001 -0.57551020E+001  0.70867007E+001  0.12433676E-021
 -0.20000000E+001 -0.57551020E+001  0.72606370E+001  0.22672775E-021
 -0.20000000E+001 -0.57551020E+001  0.74345733E+001  0.41343724E-021
 -0.20000000E+001 -0.57551020E+001  0.76085096E+001  0.75390105E-021
 -0.20000000E+001 -0.57551020E+001  0.77824459E+001  0.13747351E-020
 -0.20000000E+001 -0.57551020E+001  0.79563822E+001  0.25068226E-020
 -0.20000000E+001 -0.57551020E+001  0.81303185E+001  0.45711781E-020
 -0.20000000E+001 -0.57551020E+001  0.83042548E+001  0.83355192E-020
 -0.20000000E+001 -0.57551020E+001  0.84781911E+001  0.15199775E-019
 -0.20000000E+001 -0.57551020E+001  0.86521274E+001  0.27716707E-019
 -0.20000000E+001 -0.57551020E+001  0.88260637E+001  0.50541264E-019
 -0.20000000E+001 -0.57551020E+001  0.90000000E+001  0.92161718E-019

 -0.20000000E+001 -0.55102041E+001  0.47712125E+000  0.41360606E-029
 -0.20000000E+001 -0.55102041E+001  0.65105756E+000  0.40816854E-029
 -0.20000000E+001 -0.55102041E+001  0.82499386E+000  0.40227595E-029
 -0.20000000E+001 -0.55102041E+001  0.99893016E+000  0.39644539E-029
 -0.20000000E+001 -0.55102041E+001  0.11728665E+001  0.39181755E-029
 -0.20000000E+001 -0.55102041E+001  0.13468028E+001  0.39071405E-029
