#table for averaged Tdust
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), <Tdust> (K)

          30 ,          30
 -0.43448276E+001  0.48620690E+001  0.18917792E+001
 -0.43448276E+001  0.51034483E+001  0.19033259E+001
 -0.43448276E+001  0.53448276E+001  0.19151703E+001
 -0.43448276E+001  0.55862069E+001  0.19273286E+001
 -0.43448276E+001  0.58275862E+001  0.19398176E+001
 -0.43448276E+001  0.60689655E+001  0.19526553E+001
 -0.43448276E+001  0.63103448E+001  0.19658609E+001
 -0.43448276E+001  0.65517241E+001  0.19794552E+001
 -0.43448276E+001  0.67931034E+001  0.19934605E+001
 -0.43448276E+001  0.70344828E+001  0.20079011E+001
 -0.43448276E+001  0.72758621E+001  0.20228034E+001
 -0.43448276E+001  0.75172414E+001  0.20381962E+001
 -0.43448276E+001  0.77586207E+001  0.20541108E+001
 -0.43448276E+001  0.80000000E+001  0.20705817E+001
 
 -0.39310345E+001  0.10000000E+001  0.10213359E+001
 -0.39310345E+001  0.12413793E+001  0.12627147E+001
 -0.39310345E+001  0.14827586E+001  0.15040938E+001
 -0.39310345E+001  0.17241379E+001  0.17353941E+001
 -0.39310345E+001  0.19655172E+001  0.17724509E+001
 -0.39310345E+001  0.22068966E+001  0.17865890E+001
 -0.39310345E+001  0.24482759E+001  0.17980217E+001
 -0.39310345E+001  0.26896552E+001  0.18085749E+001
 -0.39310345E+001  0.29310345E+001  0.18188194E+001
 -0.39310345E+001  0.31724138E+001  0.18290041E+001
 -0.39310345E+001  0.34137931E+001  0.18392573E+001
 -0.39310345E+001  0.36551724E+001  0.18496526E+001
 -0.39310345E+001  0.38965517E+001  0.18602363E+001
 -0.39310345E+001  0.41379310E+001  0.18710402E+001
 -0.39310345E+001  0.43793103E+001  0.18820880E+001
 -0.39310345E+001  0.46206897E+001  0.18933996E+001
 -0.39310345E+001  0.48620690E+001  0.19049924E+001
 -0.39310345E+001  0.51034483E+001  0.19168834E+001
 -0.39310345E+001  0.53448276E+001  0.19290895E+001
 -0.39310345E+001  0.55862069E+001  0.19416282E+001
 -0.39310345E+001  0.58275862E+001  0.19545179E+001
 -0.39310345E+001  0.60689655E+001  0.19677781E+001
 -0.39310345E+001  0.63103448E+001  0.19814299E+001
 -0.39310345E+001  0.65517241E+001  0.19954960E+001
 -0.39310345E+001  0.67931034E+001  0.20100010E+001
 -0.39310345E+001  0.70344828E+001  0.20249716E+001
 -0.39310345E+001  0.72758621E+001  0.20404369E+001
 -0.39310345E+001  0.75172414E+001  0.20564289E+001
 -0.39310345E+001  0.77586207E+001  0.20729822E+001
 -0.39310345E+001  0.80000000E+001  0.20901352E+001
 
 -0.35172414E+001  0.10000000E+001  0.10213354E+001
 -0.35172414E+001  0.12413793E+001  0.12627145E+001
 -0.35172414E+001  0.14827586E+001  0.15040937E+001
 -0.35172414E+001  0.17241379E+001  0.17394907E+001
 -0.35172414E+001  0.19655172E+001  0.17821650E+001
 -0.35172414E+001  0.22068966E+001  0.17968681E+001
 -0.35172414E+001  0.24482759E+001  0.18086493E+001
 -0.35172414E+001  0.26896552E+001  0.18194950E+001
 -0.35172414E+001  0.29310345E+001  0.18300138E+001
 -0.35172414E+001  0.31724138E+001  0.18404690E+001
 -0.35172414E+001  0.34137931E+001  0.18509960E+001
 -0.35172414E+001  0.36551724E+001  0.18616724E+001
 -0.35172414E+001  0.38965517E+001  0.18725471E+001
 -0.35172414E+001  0.41379310E+001  0.18836538E+001
 -0.35172414E+001  0.43793103E+001  0.18950178E+001
 -0.35172414E+001  0.46206897E+001  0.19066602E+001
 -0.35172414E+001  0.48620690E+001  0.19186001E+001
 -0.35172414E+001  0.51034483E+001  0.19308555E+001
 -0.35172414E+001  0.53448276E+001  0.19434450E+001
 -0.35172414E+001  0.55862069E+001  0.19563874E+001
 -0.35172414E+001  0.58275862E+001  0.19697028E+001
 -0.35172414E+001  0.60689655E+001  0.19834128E+001
 -0.35172414E+001  0.63103448E+001  0.19975403E+001
 -0.35172414E+001  0.65517241E+001  0.20121102E+001
 -0.35172414E+001  0.67931034E+001  0.20271498E+001
 -0.35172414E+001  0.70344828E+001  0.20426884E+001
 -0.35172414E+001  0.72758621E+001  0.20587583E+001
