# The following is the Haardt&Madau radiation flux from quasars+galaxies.
# For details see Haardt&Madau ApJ, 764, 125, 2012.
# It has been re-arranged to be readable by KROME, the first value is the redshift,
# then energy in eV, and 3th column is the radiation flux in eV/s/cm2/Hz/sr
# Range of redshift 0-15.66, step-size 0.270
# Range of energy   0.1237-4.997d7 eV in logscale
# Table 59x500
#  Redshift   log10(E(eV))     log10(Jflux)
            59, 500
   0.000     0.2559141E+01    -0.1319839E+02
   0.000     0.2576388E+01    -0.1321347E+02
   0.000     0.2593635E+01    -0.1322721E+02
   0.000     0.2610882E+01    -0.1323996E+02
   0.000     0.2628129E+01    -0.1325144E+02
   0.000     0.2645376E+01    -0.1326217E+02
   0.000     0.2662623E+01    -0.1327198E+02
   0.000     0.2679870E+01    -0.1328110E+02
   0.000     0.2697117E+01    -0.1328994E+02
   0.000     0.2714364E+01    -0.1329884E+02
   0.000     0.2731611E+01    -0.1330712E+02
   0.000     0.2748857E+01    -0.1331509E+02
   0.000     0.2766104E+01    -0.1332300E+02
   0.000     0.2783351E+01    -0.1333090E+02
   0.000     0.2800598E+01    -0.1333879E+02
   0.000     0.2817845E+01    -0.1334669E+02
   0.000     0.2835092E+01    -0.1335453E+02
   0.000     0.2852339E+01    -0.1336242E+02
   0.000     0.2869586E+01    -0.1337027E+02
   0.000     0.2886833E+01    -0.1337798E+02
   0.000     0.2904080E+01    -0.1338555E+02
   0.000     0.2921327E+01    -0.1339333E+02
   0.000     0.2938574E+01    -0.1340097E+02
   0.000     0.2955821E+01    -0.1340879E+02
   0.000     0.2973068E+01    -0.1341673E+02
   0.000     0.2990315E+01    -0.1342478E+02
   0.000     0.3007562E+01    -0.1343297E+02
   0.000     0.3024809E+01    -0.1344124E+02
   0.000     0.3042056E+01    -0.1344948E+02
   0.000     0.3059303E+01    -0.1345786E+02
   0.000     0.3076550E+01    -0.1346626E+02
   0.000     0.3093797E+01    -0.1347467E+02
   0.000     0.3111044E+01    -0.1348321E+02
   0.000     0.3128291E+01    -0.1349170E+02
   0.000     0.3145538E+01    -0.1350011E+02
   0.000     0.3162785E+01    -0.1350855E+02
   0.000     0.3180032E+01    -0.1351696E+02
   0.000     0.3197279E+01    -0.1352531E+02
   0.000     0.3214526E+01    -0.1353358E+02
   0.000     0.3231773E+01    -0.1354187E+02
   0.000     0.3249020E+01    -0.1355006E+02
   0.000     0.3266267E+01    -0.1355820E+02
   0.000     0.3283514E+01    -0.1356629E+02
   0.000     0.3300761E+01    -0.1357435E+02
   0.000     0.3318008E+01    -0.1358241E+02
   0.000     0.3335255E+01    -0.1359048E+02
   0.000     0.3352502E+01    -0.1359856E+02
   0.000     0.3369749E+01    -0.1360663E+02
   0.000     0.3386996E+01    -0.1361470E+02
   0.000     0.3404243E+01    -0.1362279E+02
   0.000     0.3421490E+01    -0.1363097E+02
   0.000     0.3438737E+01    -0.1363912E+02
   0.000     0.3455983E+01    -0.1364735E+02
   0.000     0.3473230E+01    -0.1365553E+02
   0.000     0.3490477E+01    -0.1366368E+02
   0.000     0.3507724E+01    -0.1367190E+02
   0.000     0.3524971E+01    -0.1368011E+02
   0.000     0.3542218E+01    -0.1368837E+02
   0.000     0.3559465E+01    -0.1369673E+02
   0.000     0.3576712E+01    -0.1370508E+02
   0.000     0.3593959E+01    -0.1371343E+02
   0.000     0.3611206E+01    -0.1372180E+02
   0.000     0.3628453E+01    -0.1373002E+02
   0.000     0.3645700E+01    -0.1373821E+02
   0.000     0.3662947E+01    -0.1374629E+02
   0.000     0.3680194E+01    -0.1375426E+02
   0.000     0.3697441E+01    -0.1376213E+02
   0.000     0.3714688E+01    -0.1376993E+02
   0.000     0.3731935E+01    -0.1377742E+02
   0.000     0.3749182E+01    -0.1378468E+02
